Year,GDP ($B) ,Inflation (%),Manufacturing ($B),Population ,Growth Rate (%),Imports ($B),Arable Land,Military($B),Rice Production (Mt.)
1960.00,1.41,-0.02,0.23,9783871.00,0.02,0.46,595000.00,0.02,899.00
1961.00,1.44,0.01,0.23,10022888.00,0.02,0.41,595000.00,0.02,900.00
1962.00,1.43,0.02,0.24,10267067.00,0.02,0.42,577000.00,0.02,1003.00
1963.00,1.24,0.02,0.20,10517531.00,0.02,0.34,792000.00,0.01,1028.00
1964.00,1.31,0.03,0.21,10774086.00,0.02,0.35,790000.00,0.01,1056.00
1965.00,1.70,0.00,0.30,11035224.00,0.02,0.43,793000.00,0.01,758.00
1966.00,1.75,0.00,0.28,11299721.00,0.02,0.45,792000.00,0.02,957.00
1967.00,1.86,0.02,0.28,11571008.00,0.02,0.43,792000.00,0.02,1148.00
1968.00,1.80,0.06,0.29,11846815.00,0.02,0.42,798000.00,0.01,1348.00
1969.00,1.97,0.07,0.34,12119207.00,0.02,0.48,804000.00,0.02,1377.00
1970.00,2.30,0.06,0.37,12388769.00,0.02,0.66,810000.00,0.02,1618.00
1971.00,2.37,0.03,0.40,12654651.00,0.02,0.63,816000.00,0.03,1399.00
1972.00,2.55,0.06,0.43,12914457.00,0.02,0.61,822000.00,0.03,1315.00
1973.00,2.88,0.10,0.49,13169737.00,0.02,0.74,828000.00,0.03,1315.00
1974.00,3.57,0.12,0.65,13418276.00,0.02,1.21,834000.00,0.03,1605.00
1975.00,3.79,0.07,0.74,13662873.00,0.02,1.33,850000.00,0.02,1156.00
1976.00,3.59,0.01,0.67,13910170.00,0.02,1.13,900000.00,0.03,1255.00
1977.00,4.10,0.01,0.90,14159052.00,0.02,1.24,950000.00,0.02,1680.00
1978.00,2.73,0.12,0.52,14414816.00,0.02,1.08,1000000.00,0.03,1894.00
1979.00,3.36,0.11,0.61,14680387.00,0.02,1.54,900000.00,0.03,1919.00
1980.00,4.02,0.26,0.67,14943645.00,0.02,2.21,900000.00,0.03,2134.00
1981.00,4.42,0.18,0.67,15198918.00,0.02,2.05,900000.00,0.03,2229.00
1982.00,4.77,0.11,0.65,15438753.00,0.02,2.21,857000.00,0.05,2156.00
1983.00,5.17,0.14,0.68,15658442.00,0.01,2.14,869000.00,0.06,2484.00
1984.00,6.04,0.17,0.82,15872577.00,0.01,2.10,872000.00,0.19,2413.00
1985.00,5.98,0.01,0.80,16092338.00,0.01,2.27,876000.00,0.17,2661.00
1986.00,6.41,0.08,0.89,16317995.00,0.01,2.26,887000.00,0.23,2588.00
1987.00,6.68,0.08,0.97,16547139.00,0.01,2.39,895000.00,0.17,2127.00
1988.00,6.98,0.14,0.98,16773736.00,0.01,2.57,898000.00,0.13,2477.00
1989.00,6.99,0.12,0.97,16990575.00,0.01,2.57,901000.00,0.19,2063.00
1990.00,8.03,0.22,1.08,17204094.00,0.01,3.06,900000.00,0.28,2538.00
1991.00,9.00,0.12,1.20,17416596.00,0.01,3.50,903000.00,0.33,2389.00
1992.00,9.70,0.11,1.35,17624457.00,0.01,3.98,905000.00,0.35,2340.00
1993.00,10.34,0.12,1.43,17825611.00,0.01,4.48,880000.00,0.44,2570.00
1994.00,11.72,0.08,1.63,18011744.00,0.01,5.35,883000.00,0.76,2683.00
1995.00,13.03,0.08,1.84,18177572.00,0.01,6.00,886000.00,0.77,2810.00
1996.00,13.90,0.16,2.04,18322506.00,0.01,6.10,887000.00,0.70,2061.00
1997.00,15.09,0.10,2.24,18449123.00,0.01,6.58,888000.00,0.73,2239.00
1998.00,15.79,0.09,2.34,18560798.00,0.01,6.67,889000.00,0.63,2692.00
1999.00,15.66,0.05,2.31,18670411.00,0.01,6.77,905000.00,0.82,2857.00
2000.00,16.33,0.06,2.46,18776371.00,0.01,8.10,915000.00,0.68,2860.00
2001.00,15.75,0.14,2.22,18920275.00,0.01,6.86,916000.00,0.57,2695.00
2002.00,16.54,0.10,3.16,19110707.00,0.01,6.85,936000.00,0.54,2860.00
2003.00,18.88,0.06,3.51,19303180.00,0.01,7.68,950000.00,0.62,3067.00
2004.00,20.66,0.08,3.87,19490431.00,0.01,9.12,900000.00,0.64,2628.00
2005.00,24.41,0.12,4.76,19673866.00,0.01,10.07,1100000.00,0.79,3246.00
2006.00,28.28,0.10,5.44,19870706.00,0.01,11.63,1050000.00,1.05,3341.00
2007.00,32.35,0.16,5.98,20078655.00,0.01,12.78,1000000.00,1.51,3131.00
2008.00,40.71,0.23,7.31,20285643.00,0.01,15.69,1200000.00,1.52,3875.00
2009.00,42.07,0.03,7.62,20482477.00,0.01,11.70,1200000.00,1.53,3652.00
2010.00,58.64,0.06,10.82,20668557.00,0.01,12.35,1200000.00,1.75,4301.00
2011.00,67.75,0.07,12.61,20859743.00,0.01,19.69,1300000.00,1.47,3895.00
2012.00,70.45,0.08,13.90,21017147.00,0.01,17.88,1300000.00,1.60,3846.00
2013.00,77.00,0.07,13.91,21131756.00,0.01,17.93,1300000.00,1.91,2727.00
2014.00,82.53,0.03,14.16,21239457.00,0.01,19.24,1300000.00,2.06,3381.00
2015.00,85.14,0.04,13.77,21336697.00,0.00,23.01,1300000.00,1.74,3294.00
2016.00,88.01,0.04,14.10,21425494.00,0.00,23.45,1310000.00,1.87,2034.00
2017.00,94.38,0.08,14.05,21506813.00,0.00,25.40,1320200.00,1.64,2248.00
2018.00,94.49,0.02,14.21,21580710.00,0.00,26.80,1371600.00,1.56,3132.00
2019.00,89.01,0.04,14.39,21649664.00,0.00,24.57,1371573.00,1.53,3207.00
2020.00,84.44,0.06,13.73,21715079.00,0.00,18.24,1372000.00,1.56,3390.00
